,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,is_bijective,nonlinearity
0,"[23, 19, 30, 2, 29, 22, 10, 7, 28, 31, 14, 13, 0, 20, 27, 25, 5, 11, 4, 9, 21, 8, 24, 3, 16, 1, 12, 17, 6, 15, 18, 26]",0.13733339309692383,DDTConstruction,4,78,543,True,8
1,"[11, 6, 3, 24, 4, 8, 13, 19, 26, 20, 5, 18, 17, 7, 29, 15, 22, 0, 1, 27, 25, 30, 9, 12, 10, 23, 16, 14, 28, 31, 2, 21]",2.7521865367889404,DDTConstruction,4,87,552,True,8
2,"[24, 1, 17, 29, 23, 16, 0, 10, 12, 15, 6, 14, 18, 11, 4, 21, 13, 31, 30, 25, 20, 9, 7, 2, 19, 27, 3, 22, 5, 26, 28, 8]",0.04743003845214844,DDTConstruction,4,84,549,True,8
3,"[5, 27, 26, 3, 21, 15, 9, 18, 25, 19, 11, 0, 1, 16, 13, 8, 30, 31, 22, 29, 24, 6, 4, 12, 2, 10, 23, 20, 14, 17, 7, 28]",6.472775459289551,DDTConstruction,4,84,549,True,8
